"","ACC.Tf-Pf","ACC.Tf-Pm"
"1",1,1
"2",1,1
"3",1,1
"4",1,1
"5",1,0.96
"6",1,1
"7",0.96,1
"8",1,0.89
"9",0.95,0.92
"10",1,1
"11",1,1
"12",0.96,0.8
"13",1,1
"14",0.95,1
"15",0.93,1
"16",0.83,1
"17",0.97,1
"18",1,0.97
"19",1,1
"20",1,0.78
"21",1,1
"22",1,1
"23",1,1
"24",1,0.96
"25",1,1
"26",0.72,0.79
"27",0.92,1
"28",1,1
"29",1,1
"30",0.89,1
"31",1,1
"32",1,0.86
"33",1,1
"34",1,1
"35",1,1
"36",0.7,0.96
"37",0.79,0.95
"38",0.92,1
"39",0.85,0.97
"40",0.97,0.9
"41",1,0.85
"42",1,1
"43",1,1
"44",0.92,0.83
"45",1,1
"46",1,1
"47",0.96,0.96
"48",1,1
"49",1,1
"50",0.95,1
"51",1,1
"52",1,0.95
"53",0.83,0.82
"54",0.85,0.92
"55",1,0.95
"56",1,0.95
"57",1,0.97
"58",1,1
"59",1,1
"60",1,1
"61",1,1
"62",1,0.97
"63",1,0.92
"64",1,1
"65",1,0.92
"66",1,1
"67",1,1
"68",1,1
"69",1,1
"70",0.9,1
"71",1,1
"72",1,1
"73",1,0.92
"74",1,1
"75",1,0.96
"76",1,1
"77",1,1
"78",1,0.86
"79",1,1
"80",0.95,1
"81",1,1
