"","RT.Tf-Pf","RT.Tf-Pm"
"1",656.79,628.75
"2",439.43,449.63
"3",401.78,395.04
"4",435.71,466.14
"5",456.21,470.95
"6",545.02,512.89
"7",552.4,519.89
"8",433.71,398.16
"9",448.81,454.31
"10",465.07,442.5
"11",550.5,526.24
"12",400.28,387.17
"13",420.23,406.46
"14",515.43,524.17
"15",471.92,498.38
"16",510.02,501.46
"17",510.99,497.16
"18",581.84,626.13
"19",496.47,473.36
"20",435.99,433.2
"21",526.43,524.26
"22",468.02,482.74
"23",506.87,538.11
"24",496.58,492.24
"25",408.46,434.26
"26",898.65,986.21
"27",485.22,472
"28",410.23,410.83
"29",445.92,442.83
"30",466.17,454.11
"31",525.57,458.75
"32",440.76,463.87
"33",447.72,442.72
"34",457.64,470.43
"35",507.9,557.99
"36",487.8,504.03
"37",468.79,492.61
"38",483.25,471.26
"39",443.81,419.37
"40",659.26,635.24
"41",562.32,515.8
"42",538.71,539.98
"43",462.46,443.08
"44",439.88,559.71
"45",435.96,439.68
"46",477.35,473.93
"47",495.13,472.13
"48",474.58,485.6
"49",448.42,463.18
"50",808.3,819.98
"51",565.64,549.9
"52",479.42,522.25
"53",387.71,388.97
"54",415.42,397.93
"55",495.55,443.42
"56",632.84,741.43
"57",462.17,417.14
"58",486.91,515.02
"59",405.01,416.88
"60",449.78,445.83
"61",559.43,530.53
"62",434.54,416.52
"63",492.53,475.04
"64",616.79,621.08
"65",406.51,409.29
"66",409.79,446.38
"67",526.52,529.79
"68",530.06,548.38
"69",445.21,469.36
"70",559.31,482.79
"71",563.3,494.31
"72",469.4,472.9
"73",561.94,547.11
"74",475.61,451.2
"75",505.51,496.95
"76",455.38,471.71
"77",411.83,413.67
"78",478.5,457.82
"79",536.1,513.64
"80",466.86,438.58
"81",584.79,558.97
